county,office,district,party,candidate,votes,no_votes
JACKSON,Secretary of State,,Republican Party,Wayne Williams,594,
JEFFERSON,Secretary of State,,Republican Party,Wayne Williams,130941,
KIOWA,Secretary of State,,Republican Party,Wayne Williams,615,
KIT CARSON,Secretary of State,,Republican Party,Wayne Williams,2403,
LAKE,Secretary of State,,Republican Party,Wayne Williams,956,
LA PLATA,Secretary of State,,Republican Party,Wayne Williams,12053,
LARIMER,Secretary of State,,Republican Party,Wayne Williams,77733,
LAS ANIMAS,Secretary of State,,Republican Party,Wayne Williams,2894,
LINCOLN,Secretary of State,,Republican Party,Wayne Williams,1628,
LOGAN,Secretary of State,,Republican Party,Wayne Williams,6196,
MESA,Secretary of State,,Republican Party,Wayne Williams,42586,
MINERAL,Secretary of State,,Republican Party,Wayne Williams,311,
MOFFAT,Secretary of State,,Republican Party,Wayne Williams,4160,
MONTEZUMA,Secretary of State,,Republican Party,Wayne Williams,6886,
MONTROSE,Secretary of State,,Republican Party,Wayne Williams,12686,
MORGAN,Secretary of State,,Republican Party,Wayne Williams,7155,
OTERO,Secretary of State,,Republican Party,Wayne Williams,4112,
OURAY,Secretary of State,,Republican Party,Wayne Williams,1294,
PARK,Secretary of State,,Republican Party,Wayne Williams,5455,
PHILLIPS,Secretary of State,,Republican Party,Wayne Williams,1545,
PITKIN,Secretary of State,,Republican Party,Wayne Williams,2513,
PROWERS,Secretary of State,,Republican Party,Wayne Williams,2873,
PUEBLO,Secretary of State,,Republican Party,Wayne Williams,28960,
RIO BLANCO,Secretary of State,,Republican Party,Wayne Williams,2409,
RIO GRANDE,Secretary of State,,Republican Party,Wayne Williams,2767,
ROUTT,Secretary of State,,Republican Party,Wayne Williams,4998,
SAGUACHE,Secretary of State,,Republican Party,Wayne Williams,1010,
SAN JUAN,Secretary of State,,Republican Party,Wayne Williams,164,
SAN MIGUEL,Secretary of State,,Republican Party,Wayne Williams,976,
SEDGWICK,Secretary of State,,Republican Party,Wayne Williams,849,
SUMMIT,Secretary of State,,Republican Party,Wayne Williams,4578,
TELLER,Secretary of State,,Republican Party,Wayne Williams,8568,
WASHINGTON,Secretary of State,,Republican Party,Wayne Williams,1973,
WELD,Secretary of State,,Republican Party,Wayne Williams,72019,
YUMA,Secretary of State,,Republican Party,Wayne Williams,3168,
TOTAL,Secretary of State,,Republican Party,Wayne Williams,1113927,
ADAMS,Secretary of State,,Democratic Party,Jena Griswold,93779,
ALAMOSA,Secretary of State,,Democratic Party,Jena Griswold,3087,
ARAPAHOE,Secretary of State,,Democratic Party,Jena Griswold,151754,
ARCHULETA,Secretary of State,,Democratic Party,Jena Griswold,2697,
BACA,Secretary of State,,Democratic Party,Jena Griswold,378,
BENT,Secretary of State,,Democratic Party,Jena Griswold,669,
BOULDER,Secretary of State,,Democratic Party,Jena Griswold,128165,
BROOMFIELD,Secretary of State,,Democratic Party,Jena Griswold,20441,
CHAFFEE,Secretary of State,,Democratic Party,Jena Griswold,5419,
CHEYENNE,Secretary of State,,Democratic Party,Jena Griswold,148,
CLEAR CREEK,Secretary of State,,Democratic Party,Jena Griswold,2870,
CONEJOS,Secretary of State,,Democratic Party,Jena Griswold,1710,
COSTILLA,Secretary of State,,Democratic Party,Jena Griswold,1063,
CROWLEY,Secretary of State,,Democratic Party,Jena Griswold,438,
CUSTER,Secretary of State,,Democratic Party,Jena Griswold,902,
DELTA,Secretary of State,,Democratic Party,Jena Griswold,4735,
DENVER,Secretary of State,,Democratic Party,Jena Griswold,232255,
DOLORES,Secretary of State,,Democratic Party,Jena Griswold,271,
DOUGLAS,Secretary of State,,Democratic Party,Jena Griswold,69819,
EAGLE,Secretary of State,,Democratic Party,Jena Griswold,13019,
ELBERT,Secretary of State,,Democratic Party,Jena Griswold,3345,
EL PASO,Secretary of State,,Democratic Party,Jena Griswold,102943,
FREMONT,Secretary of State,,Democratic Party,Jena Griswold,6196,
GARFIELD,Secretary of State,,Democratic Party,Jena Griswold,11379,
GILPIN,Secretary of State,,Democratic Party,Jena Griswold,1797,
GRAND,Secretary of State,,Democratic Party,Jena Griswold,3458,
GUNNISON,Secretary of State,,Democratic Party,Jena Griswold,5426,
HINSDALE,Secretary of State,,Democratic Party,Jena Griswold,208,
HUERFANO,Secretary of State,,Democratic Party,Jena Griswold,1847,
JACKSON,Secretary of State,,Democratic Party,Jena Griswold,147,
JEFFERSON,Secretary of State,,Democratic Party,Jena Griswold,161185,
KIOWA,Secretary of State,,Democratic Party,Jena Griswold,124,
KIT CARSON,Secretary of State,,Democratic Party,Jena Griswold,557,
LAKE,Secretary of State,,Democratic Party,Jena Griswold,1732,
LA PLATA,Secretary of State,,Democratic Party,Jena Griswold,15088,
LARIMER,Secretary of State,,Democratic Party,Jena Griswold,94951,
LAS ANIMAS,Secretary of State,,Democratic Party,Jena Griswold,3134,
LINCOLN,Secretary of State,,Democratic Party,Jena Griswold,383,
LOGAN,Secretary of State,,Democratic Party,Jena Griswold,1962,
MESA,Secretary of State,,Democratic Party,Jena Griswold,21656,
MINERAL,Secretary of State,,Democratic Party,Jena Griswold,266,
MOFFAT,Secretary of State,,Democratic Party,Jena Griswold,995,
MONTEZUMA,Secretary of State,,Democratic Party,Jena Griswold,4229,
MONTROSE,Secretary of State,,Democratic Party,Jena Griswold,5489,
MORGAN,Secretary of State,,Democratic Party,Jena Griswold,2986,
OTERO,Secretary of State,,Democratic Party,Jena Griswold,3037,
OURAY,Secretary of State,,Democratic Party,Jena Griswold,1806,
PARK,Secretary of State,,Democratic Party,Jena Griswold,3620,
PHILLIPS,Secretary of State,,Democratic Party,Jena Griswold,434,
PITKIN,Secretary of State,,Democratic Party,Jena Griswold,7007,
PROWERS,Secretary of State,,Democratic Party,Jena Griswold,1135,
PUEBLO,Secretary of State,,Democratic Party,Jena Griswold,35115,
RIO BLANCO,Secretary of State,,Democratic Party,Jena Griswold,467,
RIO GRANDE,Secretary of State,,Democratic Party,Jena Griswold,1983,
ROUTT,Secretary of State,,Democratic Party,Jena Griswold,7725,
SAGUACHE,Secretary of State,,Democratic Party,Jena Griswold,1548,
SAN JUAN,Secretary of State,,Democratic Party,Jena Griswold,274,
SAN MIGUEL,Secretary of State,,Democratic Party,Jena Griswold,2992,
SEDGWICK,Secretary of State,,Democratic Party,Jena Griswold,313,
SUMMIT,Secretary of State,,Democratic Party,Jena Griswold,8927,
TELLER,Secretary of State,,Democratic Party,Jena Griswold,3866,
WASHINGTON,Secretary of State,,Democratic Party,Jena Griswold,325,
WELD,Secretary of State,,Democratic Party,Jena Griswold,47266,
YUMA,Secretary of State,,Democratic Party,Jena Griswold,774,
TOTAL,Secretary of State,,Democratic Party,Jena Griswold,1313716,
ADAMS,Secretary of State,,American Constitution Party,Amanda Campbell,4813,
ALAMOSA,Secretary of State,,American Constitution Party,Amanda Campbell,173,
ARAPAHOE,Secretary of State,,American Constitution Party,Amanda Campbell,5226,
ARCHULETA,Secretary of State,,American Constitution Party,Amanda Campbell,189,
BACA,Secretary of State,,American Constitution Party,Amanda Campbell,57,
BENT,Secretary of State,,American Constitution Party,Amanda Campbell,62,
BOULDER,Secretary of State,,American Constitution Party,Amanda Campbell,2161,
BROOMFIELD,Secretary of State,,American Constitution Party,Amanda Campbell,567,
CHAFFEE,Secretary of State,,American Constitution Party,Amanda Campbell,300,
CHEYENNE,Secretary of State,,American Constitution Party,Amanda Campbell,27,
CLEAR CREEK,Secretary of State,,American Constitution Party,Amanda Campbell,151,
CONEJOS,Secretary of State,,American Constitution Party,Amanda Campbell,101,
COSTILLA,Secretary of State,,American Constitution Party,Amanda Campbell,47,
CROWLEY,Secretary of State,,American Constitution Party,Amanda Campbell,60,
CUSTER,Secretary of State,,American Constitution Party,Amanda Campbell,68,
DELTA,Secretary of State,,American Constitution Party,Amanda Campbell,449,
DENVER,Secretary of State,,American Constitution Party,Amanda Campbell,4181,
DOLORES,Secretary of State,,American Constitution Party,Amanda Campbell,47,
DOUGLAS,Secretary of State,,American Constitution Party,Amanda Campbell,2843,
EAGLE,Secretary of State,,American Constitution Party,Amanda Campbell,413,
ELBERT,Secretary of State,,American Constitution Party,Amanda Campbell,292,
EL PASO,Secretary of State,,American Constitution Party,Amanda Campbell,6322,
FREMONT,Secretary of State,,American Constitution Party,Amanda Campbell,653,
GARFIELD,Secretary of State,,American Constitution Party,Amanda Campbell,562,
GILPIN,Secretary of State,,American Constitution Party,Amanda Campbell,94,
GRAND,Secretary of State,,American Constitution Party,Amanda Campbell,169,
GUNNISON,Secretary of State,,American Constitution Party,Amanda Campbell,196,
HINSDALE,Secretary of State,,American Constitution Party,Amanda Campbell,15,
HUERFANO,Secretary of State,,American Constitution Party,Amanda Campbell,103,
JACKSON,Secretary of State,,American Constitution Party,Amanda Campbell,20,
JEFFERSON,Secretary of State,,American Constitution Party,Amanda Campbell,5963,
KIOWA,Secretary of State,,American Constitution Party,Amanda Campbell,15,
KIT CARSON,Secretary of State,,American Constitution Party,Amanda Campbell,68,
LAKE,Secretary of State,,American Constitution Party,Amanda Campbell,124,
LA PLATA,Secretary of State,,American Constitution Party,Amanda Campbell,562,
LARIMER,Secretary of State,,American Constitution Party,Amanda Campbell,3546,
LAS ANIMAS,Secretary of State,,American Constitution Party,Amanda Campbell,154,
LINCOLN,Secretary of State,,American Constitution Party,Amanda Campbell,49,
LOGAN,Secretary of State,,American Constitution Party,Amanda Campbell,248,
MESA,Secretary of State,,American Constitution Party,Amanda Campbell,1873,
MINERAL,Secretary of State,,American Constitution Party,Amanda Campbell,16,
MOFFAT,Secretary of State,,American Constitution Party,Amanda Campbell,151,
MONTEZUMA,Secretary of State,,American Constitution Party,Amanda Campbell,302,
MONTROSE,Secretary of State,,American Constitution Party,Amanda Campbell,466,
MORGAN,Secretary of State,,American Constitution Party,Amanda Campbell,294,
OTERO,Secretary of State,,American Constitution Party,Amanda Campbell,220,
OURAY,Secretary of State,,American Constitution Party,Amanda Campbell,60,
PARK,Secretary of State,,American Constitution Party,Amanda Campbell,274,
PHILLIPS,Secretary of State,,American Constitution Party,Amanda Campbell,36,
PITKIN,Secretary of State,,American Constitution Party,Amanda Campbell,128,
PROWERS,Secretary of State,,American Constitution Party,Amanda Campbell,96,
PUEBLO,Secretary of State,,American Constitution Party,Amanda Campbell,1699,
RIO BLANCO,Secretary of State,,American Constitution Party,Amanda Campbell,87,
RIO GRANDE,Secretary of State,,American Constitution Party,Amanda Campbell,149,
ROUTT,Secretary of State,,American Constitution Party,Amanda Campbell,233,
SAGUACHE,Secretary of State,,American Constitution Party,Amanda Campbell,79,
SAN JUAN,Secretary of State,,American Constitution Party,Amanda Campbell,10,
SAN MIGUEL,Secretary of State,,American Constitution Party,Amanda Campbell,46,
SEDGWICK,Secretary of State,,American Constitution Party,Amanda Campbell,20,
SUMMIT,Secretary of State,,American Constitution Party,Amanda Campbell,265,
TELLER,Secretary of State,,American Constitution Party,Amanda Campbell,306,
WASHINGTON,Secretary of State,,American Constitution Party,Amanda Campbell,67,
WELD,Secretary of State,,American Constitution Party,Amanda Campbell,3684,
YUMA,Secretary of State,,American Constitution Party,Amanda Campbell,83,
TOTAL,Secretary of State,,American Constitution Party,Amanda Campbell,51734,
ADAMS,Secretary of State,,Approval Voting Party,Blake Huber,1180,
ALAMOSA,Secretary of State,,Approval Voting Party,Blake Huber,30,
ARAPAHOE,Secretary of State,,Approval Voting Party,Blake Huber,1306,
ARCHULETA,Secretary of State,,Approval Voting Party,Blake Huber,39,
BACA,Secretary of State,,Approval Voting Party,Blake Huber,8,
BENT,Secretary of State,,Approval Voting Party,Blake Huber,10,
BOULDER,Secretary of State,,Approval Voting Party,Blake Huber,881,
BROOMFIELD,Secretary of State,,Approval Voting Party,Blake Huber,203,
CHAFFEE,Secretary of State,,Approval Voting Party,Blake Huber,41,
CHEYENNE,Secretary of State,,Approval Voting Party,Blake Huber,5,
CLEAR CREEK,Secretary of State,,Approval Voting Party,Blake Huber,35,
CONEJOS,Secretary of State,,Approval Voting Party,Blake Huber,10,
COSTILLA,Secretary of State,,Approval Voting Party,Blake Huber,12,
CROWLEY,Secretary of State,,Approval Voting Party,Blake Huber,10,
CUSTER,Secretary of State,,Approval Voting Party,Blake Huber,5,
DELTA,Secretary of State,,Approval Voting Party,Blake Huber,68,
DENVER,Secretary of State,,Approval Voting Party,Blake Huber,1723,
DOLORES,Secretary of State,,Approval Voting Party,Blake Huber,7,
DOUGLAS,Secretary of State,,Approval Voting Party,Blake Huber,657,
EAGLE,Secretary of State,,Approval Voting Party,Blake Huber,88,
ELBERT,Secretary of State,,Approval Voting Party,Blake Huber,49,
EL PASO,Secretary of State,,Approval Voting Party,Blake Huber,1462,
FREMONT,Secretary of State,,Approval Voting Party,Blake Huber,107,
GARFIELD,Secretary of State,,Approval Voting Party,Blake Huber,96,
GILPIN,Secretary of State,,Approval Voting Party,Blake Huber,32,
GRAND,Secretary of State,,Approval Voting Party,Blake Huber,48,
GUNNISON,Secretary of State,,Approval Voting Party,Blake Huber,57,
HINSDALE,Secretary of State,,Approval Voting Party,Blake Huber,3,
HUERFANO,Secretary of State,,Approval Voting Party,Blake Huber,16,
JACKSON,Secretary of State,,Approval Voting Party,Blake Huber,2,
JEFFERSON,Secretary of State,,Approval Voting Party,Blake Huber,1765,
KIOWA,Secretary of State,,Approval Voting Party,Blake Huber,3,
KIT CARSON,Secretary of State,,Approval Voting Party,Blake Huber,12,
LAKE,Secretary of State,,Approval Voting Party,Blake Huber,21,
LA PLATA,Secretary of State,,Approval Voting Party,Blake Huber,163,
LARIMER,Secretary of State,,Approval Voting Party,Blake Huber,911,
LAS ANIMAS,Secretary of State,,Approval Voting Party,Blake Huber,41,
LINCOLN,Secretary of State,,Approval Voting Party,Blake Huber,4,
LOGAN,Secretary of State,,Approval Voting Party,Blake Huber,43,
MESA,Secretary of State,,Approval Voting Party,Blake Huber,371,
MINERAL,Secretary of State,,Approval Voting Party,Blake Huber,2,
MOFFAT,Secretary of State,,Approval Voting Party,Blake Huber,24,
MONTEZUMA,Secretary of State,,Approval Voting Party,Blake Huber,61,
MONTROSE,Secretary of State,,Approval Voting Party,Blake Huber,84,
MORGAN,Secretary of State,,Approval Voting Party,Blake Huber,63,
OTERO,Secretary of State,,Approval Voting Party,Blake Huber,49,
OURAY,Secretary of State,,Approval Voting Party,Blake Huber,8,
PARK,Secretary of State,,Approval Voting Party,Blake Huber,51,
PHILLIPS,Secretary of State,,Approval Voting Party,Blake Huber,11,
PITKIN,Secretary of State,,Approval Voting Party,Blake Huber,44,
PROWERS,Secretary of State,,Approval Voting Party,Blake Huber,15,
PUEBLO,Secretary of State,,Approval Voting Party,Blake Huber,359,
RIO BLANCO,Secretary of State,,Approval Voting Party,Blake Huber,14,
RIO GRANDE,Secretary of State,,Approval Voting Party,Blake Huber,26,
ROUTT,Secretary of State,,Approval Voting Party,Blake Huber,56,
SAGUACHE,Secretary of State,,Approval Voting Party,Blake Huber,15,
SAN JUAN,Secretary of State,,Approval Voting Party,Blake Huber,2,
SAN MIGUEL,Secretary of State,,Approval Voting Party,Blake Huber,23,
SEDGWICK,Secretary of State,,Approval Voting Party,Blake Huber,4,
SUMMIT,Secretary of State,,Approval Voting Party,Blake Huber,76,
TELLER,Secretary of State,,Approval Voting Party,Blake Huber,54,
WASHINGTON,Secretary of State,,Approval Voting Party,Blake Huber,7,
WELD,Secretary of State,,Approval Voting Party,Blake Huber,675,
YUMA,Secretary of State,,Approval Voting Party,Blake Huber,11,
TOTAL,Secretary of State,,Approval Voting Party,Blake Huber,13258,
ADAMS,State Treasurer,,Republican Party,Brian Watson,68786,
ALAMOSA,State Treasurer,,Republican Party,Brian Watson,2708,
ARAPAHOE,State Treasurer,,Republican Party,Brian Watson,109865,
ARCHULETA,State Treasurer,,Republican Party,Brian Watson,3711,
BACA,State Treasurer,,Republican Party,Brian Watson,1421,
BENT,State Treasurer,,Republican Party,Brian Watson,1088,
BOULDER,State Treasurer,,Republican Party,Brian Watson,46535,
BROOMFIELD,State Treasurer,,Republican Party,Brian Watson,14260,
CHAFFEE,State Treasurer,,Republican Party,Brian Watson,5023,
CHEYENNE,State Treasurer,,Republican Party,Brian Watson,804,
CLEAR CREEK,State Treasurer,,Republican Party,Brian Watson,2212,
CONEJOS,State Treasurer,,Republican Party,Brian Watson,1721,
COSTILLA,State Treasurer,,Republican Party,Brian Watson,469,
CROWLEY,State Treasurer,,Republican Party,Brian Watson,906,
CUSTER,State Treasurer,,Republican Party,Brian Watson,1925,
DELTA,State Treasurer,,Republican Party,Brian Watson,9777,
DENVER,State Treasurer,,Republican Party,Brian Watson,66728,
DOLORES,State Treasurer,,Republican Party,Brian Watson,843,
DOUGLAS,State Treasurer,,Republican Party,Brian Watson,101526,
EAGLE,State Treasurer,,Republican Party,Brian Watson,8207,
ELBERT,State Treasurer,,Republican Party,Brian Watson,10840,
EL PASO,State Treasurer,,Republican Party,Brian Watson,158461,
FREMONT,State Treasurer,,Republican Party,Brian Watson,12721,
GARFIELD,State Treasurer,,Republican Party,Brian Watson,11605,
GILPIN,State Treasurer,,Republican Party,Brian Watson,1440,
GRAND,State Treasurer,,Republican Party,Brian Watson,3882,
GUNNISON,State Treasurer,,Republican Party,Brian Watson,3024,
HINSDALE,State Treasurer,,Republican Party,Brian Watson,310,
HUERFANO,State Treasurer,,Republican Party,Brian Watson,1633,
JACKSON,State Treasurer,,Republican Party,Brian Watson,586,
JEFFERSON,State Treasurer,,Republican Party,Brian Watson,130815,
KIOWA,State Treasurer,,Republican Party,Brian Watson,633,
KIT CARSON,State Treasurer,,Republican Party,Brian Watson,2428,
LAKE,State Treasurer,,Republican Party,Brian Watson,963,
LA PLATA,State Treasurer,,Republican Party,Brian Watson,11554,
LARIMER,State Treasurer,,Republican Party,Brian Watson,78184,
LAS ANIMAS,State Treasurer,,Republican Party,Brian Watson,3003,
LINCOLN,State Treasurer,,Republican Party,Brian Watson,1627,
LOGAN,State Treasurer,,Republican Party,Brian Watson,6267,
MESA,State Treasurer,,Republican Party,Brian Watson,42314,
MINERAL,State Treasurer,,Republican Party,Brian Watson,309,
MOFFAT,State Treasurer,,Republican Party,Brian Watson,4185,
MONTEZUMA,State Treasurer,,Republican Party,Brian Watson,6792,
MONTROSE,State Treasurer,,Republican Party,Brian Watson,12713,
MORGAN,State Treasurer,,Republican Party,Brian Watson,7225,
OTERO,State Treasurer,,Republican Party,Brian Watson,4237,
OURAY,State Treasurer,,Republican Party,Brian Watson,1287,
PARK,State Treasurer,,Republican Party,Brian Watson,5451,
PHILLIPS,State Treasurer,,Republican Party,Brian Watson,1564,
PITKIN,State Treasurer,,Republican Party,Brian Watson,2610,
PROWERS,State Treasurer,,Republican Party,Brian Watson,2889,
PUEBLO,State Treasurer,,Republican Party,Brian Watson,29937,
RIO BLANCO,State Treasurer,,Republican Party,Brian Watson,2422,
RIO GRANDE,State Treasurer,,Republican Party,Brian Watson,2794,
ROUTT,State Treasurer,,Republican Party,Brian Watson,5025,
SAGUACHE,State Treasurer,,Republican Party,Brian Watson,999,
SAN JUAN,State Treasurer,,Republican Party,Brian Watson,166,
SAN MIGUEL,State Treasurer,,Republican Party,Brian Watson,977,
SEDGWICK,State Treasurer,,Republican Party,Brian Watson,872,
SUMMIT,State Treasurer,,Republican Party,Brian Watson,4604,
TELLER,State Treasurer,,Republican Party,Brian Watson,8528,
WASHINGTON,State Treasurer,,Republican Party,Brian Watson,2000,
WELD,State Treasurer,,Republican Party,Brian Watson,70039,
YUMA,State Treasurer,,Republican Party,Brian Watson,3211,
TOTAL,State Treasurer,,Republican Party,Brian Watson,1111641,
ADAMS,State Treasurer,,Democratic Party,Dave Young,92607,
ALAMOSA,State Treasurer,,Democratic Party,Dave Young,3034,
ARAPAHOE,State Treasurer,,Democratic Party,Dave Young,149594,
ARCHULETA,State Treasurer,,Democratic Party,Dave Young,2640,
BACA,State Treasurer,,Democratic Party,Dave Young,327,
BENT,State Treasurer,,Democratic Party,Dave Young,660,
BOULDER,State Treasurer,,Democratic Party,Dave Young,121955,
BROOMFIELD,State Treasurer,,Democratic Party,Dave Young,19984,
CHAFFEE,State Treasurer,,Democratic Party,Dave Young,5219,
CHEYENNE,State Treasurer,,Democratic Party,Dave Young,135,
CLEAR CREEK,State Treasurer,,Democratic Party,Dave Young,2815,
CONEJOS,State Treasurer,,Democratic Party,Dave Young,1710,
COSTILLA,State Treasurer,,Democratic Party,Dave Young,1080,
CROWLEY,State Treasurer,,Democratic Party,Dave Young,398,
CUSTER,State Treasurer,,Democratic Party,Dave Young,824,
DELTA,State Treasurer,,Democratic Party,Dave Young,4588,
DENVER,State Treasurer,,Democratic Party,Dave Young,230382,
DOLORES,State Treasurer,,Democratic Party,Dave Young,254,
DOUGLAS,State Treasurer,,Democratic Party,Dave Young,67711,
EAGLE,State Treasurer,,Democratic Party,Dave Young,12593,
ELBERT,State Treasurer,,Democratic Party,Dave Young,3188,
EL PASO,State Treasurer,,Democratic Party,Dave Young,104790,
FREMONT,State Treasurer,,Democratic Party,Dave Young,5741,
GARFIELD,State Treasurer,,Democratic Party,Dave Young,11116,
GILPIN,State Treasurer,,Democratic Party,Dave Young,1720,
GRAND,State Treasurer,,Democratic Party,Dave Young,3331,
GUNNISON,State Treasurer,,Democratic Party,Dave Young,5231,
HINSDALE,State Treasurer,,Democratic Party,Dave Young,202,
HUERFANO,State Treasurer,,Democratic Party,Dave Young,1782,
JACKSON,State Treasurer,,Democratic Party,Dave Young,137,
JEFFERSON,State Treasurer,,Democratic Party,Dave Young,159796,
KIOWA,State Treasurer,,Democratic Party,Dave Young,104,
KIT CARSON,State Treasurer,,Democratic Party,Dave Young,524,
LAKE,State Treasurer,,Democratic Party,Dave Young,1659,
LA PLATA,State Treasurer,,Democratic Party,Dave Young,15227,
LARIMER,State Treasurer,,Democratic Party,Dave Young,92714,
LAS ANIMAS,State Treasurer,,Democratic Party,Dave Young,2962,
LINCOLN,State Treasurer,,Democratic Party,Dave Young,363,
LOGAN,State Treasurer,,Democratic Party,Dave Young,1850,
MESA,State Treasurer,,Democratic Party,Dave Young,21444,
MINERAL,State Treasurer,,Democratic Party,Dave Young,254,
MOFFAT,State Treasurer,,Democratic Party,Dave Young,925,
MONTEZUMA,State Treasurer,,Democratic Party,Dave Young,4184,
MONTROSE,State Treasurer,,Democratic Party,Dave Young,5342,
MORGAN,State Treasurer,,Democratic Party,Dave Young,2895,
OTERO,State Treasurer,,Democratic Party,Dave Young,2859,
OURAY,State Treasurer,,Democratic Party,Dave Young,1784,
PARK,State Treasurer,,Democratic Party,Dave Young,3503,
PHILLIPS,State Treasurer,,Democratic Party,Dave Young,394,
PITKIN,State Treasurer,,Democratic Party,Dave Young,6768,
PROWERS,State Treasurer,,Democratic Party,Dave Young,1064,
PUEBLO,State Treasurer,,Democratic Party,Dave Young,33287,
RIO BLANCO,State Treasurer,,Democratic Party,Dave Young,431,
RIO GRANDE,State Treasurer,,Democratic Party,Dave Young,1937,
ROUTT,State Treasurer,,Democratic Party,Dave Young,7528,
SAGUACHE,State Treasurer,,Democratic Party,Dave Young,1521,
SAN JUAN,State Treasurer,,Democratic Party,Dave Young,261,
SAN MIGUEL,State Treasurer,,Democratic Party,Dave Young,2928,
SEDGWICK,State Treasurer,,Democratic Party,Dave Young,276,
SUMMIT,State Treasurer,,Democratic Party,Dave Young,8616,
TELLER,State Treasurer,,Democratic Party,Dave Young,3733,
WASHINGTON,State Treasurer,,Democratic Party,Dave Young,303,
WELD,State Treasurer,,Democratic Party,Dave Young,48396,
YUMA,State Treasurer,,Democratic Party,Dave Young,701,
TOTAL,State Treasurer,,Democratic Party,Dave Young,1292281,
ADAMS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,6030,
ALAMOSA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,202,
ARAPAHOE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,7022,
ARCHULETA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,261,
BACA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,73,
BENT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,78,
BOULDER,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,3047,
BROOMFIELD,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,893,
CHAFFEE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,351,
CHEYENNE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,30,
CLEAR CREEK,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,214,
CONEJOS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,88,
COSTILLA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,56,
CROWLEY,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,69,
CUSTER,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,83,
DELTA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,563,
DENVER,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,6180,
DOLORES,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,52,
DOUGLAS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,3822,
EAGLE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,535,
ELBERT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,400,
EL PASO,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,9227,
FREMONT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,807,
GARFIELD,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,686,
GILPIN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,150,
GRAND,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,257,
GUNNISON,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,270,
HINSDALE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,28,
HUERFANO,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,156,
JACKSON,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,23,
JEFFERSON,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,8304,
KIOWA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,17,
KIT CARSON,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,74,
LAKE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,153,
LA PLATA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,795,
LARIMER,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,4733,
LAS ANIMAS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,197,
LINCOLN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,54,
LOGAN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,261,
MESA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,2338,
MINERAL,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,14,
MOFFAT,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,191,
MONTEZUMA,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,397,
MONTROSE,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,584,
MORGAN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,326,
OTERO,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,288,
OURAY,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,86,
PARK,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,370,
PHILLIPS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,48,
PITKIN,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,205,
PROWERS,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,121,
PUEBLO,State Treasurer,,American Constitution Party,Gerald F. Kilpatrick,2439,
